ID,Is_Churn
55480787,1
9aededf2,1
a5034a09,1
b3256702,1
dc28adb5,1
5aee459a,1
3e83f7ea,1
ed4dfbd0,1
3911bea6,1
e04eff55,1
b62a943c,1
d499c6ec,1
c5d30bb4,1
3b19437b,1
a860111a,1
1ae50fc2,1
281a10a0,1
563b04e8,1
7e6cf810,1
7cc25f3f,1
aa04e6bb,1
01e998e2,1
5262cdc0,1
44d25d82,1
048f1640,1
b5ff85a7,1
a74523eb,1
bf45935f,1
69d6a36a,1
7eb7aeb6,1
b3723c9b,1
dc40ea28,1
91ef0414,1
3ac65d73,1
eb13cf48,1
338cc540,1
49fde12e,1
97daea88,1
a4b4ec5a,1
5f3b8fd8,1
45e6bace,1
742ab9ff,1
cc0f4f2e,1
c01e78e2,1
680d7d9b,1
a58d3300,1
35069eef,1
570bdf6e,1
e3341678,1
3eae1a7f,1
b7a4443e,1
78761714,1
5cc25e6b,1
36ccaeb2,1
a926dd29,1
2a26ead3,1
871d793a,1
a63a4e2a,1
78316037,1
c5fbf1e4,1
b0a93cd1,1
cdaffc4c,1
77fd0cb3,1
5b95d186,1
ddc9cdff,1
60ccfec4,1
b00b938a,1
ddb828a1,1
07659c28,1
10ac8f97,1
00ae893e,1
e897d5d7,1
5df7316e,1
9d1e4c98,1
f70ccc5c,1
dc9aff81,1
e1f3ed67,1
4db28015,1
ecbed9bd,1
28fb4d18,1
15f59e38,1
32069de4,1
fbabae0d,1
85bcd1eb,1
53056dd0,1
46e79647,1
ebf0b4d3,1
122d902b,1
8f9d4e4c,1
7faf8697,1
fd5c422b,1
cb244803,1
c2cbdf33,1
a2ecc1c3,1
442dcfd4,1
ab7748c0,1
a6b1fca6,1
d19105ad,1
703ec965,1
c73a5950,1
c4ee9d86,1
a75ced68,1
bbbc264d,1
f7864845,1
768110cb,1
fbc17cae,1
7bcd84fb,1
997816ab,1
66fa57b7,1
bba2d3fb,1
00bcf12d,1
83d4a9ec,1
9dfcf46a,1
732b9b2d,1
6d02a241,1
ae9cacea,1
c67e9bc4,1
6866f4cd,1
1c0bb452,1
e961e67a,1
92dac76e,1
98993390,1
1d69dbb7,1
1ce25bae,1
d86b4268,1
33010d65,1
45bde3e4,1
7d09a529,1
60da5057,1
d9bafa5b,1
d5c58e4a,1
531e5784,1
b7cf078e,1
531c6124,1
4820fd2d,1
44eff957,1
42837f1c,1
da0000c0,1
bffd2ccb,1
